Date,Open,High,Low,Close,Volume,RSI,SMA20,SMA50,SMA200,EMA20,ATR,Pct
2003-12-01,1.20339834690094,1.2040069103240967,1.194400668144226,1.19650137424469,0,,,,,1.19650137424469,,
2003-12-02,1.1961007118225098,1.2109030485153198,1.1946003437042236,1.2088974714279175,0,,,,,1.197681954928807,,1.0360286624035764
2003-12-03,1.208999752998352,1.213003396987915,1.2077003717422485,1.2122975587844849,0,,,,,1.1990739172007763,,0.2812552294076065
2003-12-04,1.2120037078857422,1.2144027948379517,1.2043983936309814,1.2080942392349243,0,,,,,1.1999329954897426,,-0.34672341943631224
2003-12-05,1.207802414894104,1.2190959453582764,1.2065927982330322,1.2186946868896484,0,,,,,1.2017198232421147,,0.8774520488929127
2003-12-08,1.2167967557907104,1.2240052223205566,1.2154065370559692,1.2220009565353394,0,,,,,1.2036513597462313,,0.2712959760355682
2003-12-09,1.2221053838729858,1.2277017831802368,1.2197948694229126,1.2249947786331177,0,,,,,1.205684066306887,,0.24499343325119494
2003-12-10,1.2249047756195068,1.226602554321289,1.2162047624588013,1.2190959453582764,0,,,,,1.206961388121305,,-0.48153946267619485
2003-12-11,1.2190959453582764,1.2234959602355957,1.2122975587844849,1.2224042415618896,0,,,,,1.2084321360680275,,0.27137291500392013
2003-12-12,1.2227030992507935,1.2306026220321655,1.2212995290756226,1.2278977632522583,0,,,,,1.2102860053236686,,0.44940302917710895
2003-12-15,1.2186946868896484,1.2324985265731812,1.2178043127059937,1.2319974899291992,0,,,,,1.2123537657622907,,0.33388176113964274
2003-12-16,1.2314057350158691,1.2358952760696411,1.2304966449737549,1.2321947813034058,0,,,,,1.214243386290016,,0.016013942870762854
2003-12-17,1.2319974899291992,1.242004632949829,1.229997158050537,1.2402024269104004,0,,,,,1.2167156758729096,,0.6498684890163364
2003-12-18,1.2402024269104004,1.2441989183425903,1.2365983724594116,1.2422977685928345,0,,,,,1.2191520656557595,0.00993885403454042,0.16895158701262236
2003-12-19,1.2422051429748535,1.2435026168823242,1.235101580619812,1.2384973764419556,0,77.99062793189157,,,,1.2209944762068259,0.009775145651666583,-0.30591636296535274
2003-12-22,1.235696792602539,1.2446014881134033,1.235696792602539,1.2398948669433594,0,78.75777724108613,,,,1.222794513419829,0.009685617729388859,0.11283758270193012
2003-12-23,1.2398948669433594,1.2672022581100464,1.2388043403625488,1.2400025129318237,0,78.81901960882426,,,,1.2244333705162094,0.011551587483020606,0.008681864191406596
2003-12-24,1.240094780921936,1.2471938133239746,1.2400025129318237,1.245298981666565,0,81.62594165477537,,,,1.226420571578148,0.011128746798948609,0.4271337097711436
2003-12-25,1.2457022666931152,1.247007131576538,1.244307279586792,1.2448029518127441,0,80.54934654968864,,,,1.2281712744576334,0.010331712868611148,-0.039832189789235084
2003-12-26,1.245004415512085,1.2471004724502563,1.242699146270752,1.243193507194519,0,77.00062946957223,1.2279630839824676,,,1.2296019632897177,0.009783615292016698,-0.12929312353263667
2003-12-29,1.2433944940567017,1.2507973909378052,1.242992639541626,1.2483927011489868,0,80.0572349857762,1.2305576503276825,,,1.2313915573715528,0.009604485470898563,0.4182127661043422
2003-12-30,1.2485953569412231,1.25629723072052,1.248299241065979,1.2548940181732178,0,83.0845464052372,1.2328574776649475,,,1.2336298869717115,0.009461787513003311,0.5207749947790719
2003-12-31,1.2550044059753418,1.2648941278457642,1.253007173538208,1.2590018510818481,0,84.66820261308982,1.2351926922798158,,,1.2360462645060102,0.00967352088145378,0.32734500676083744
2004-01-01,1.2590018510818481,1.2607955932617188,1.2473959922790527,1.2581939697265625,0,83.02197523461166,1.2376976788043976,,,1.2381555697651103,0.009993748112275989,-0.06416840091152398
2004-01-02,1.2581939697265625,1.2628016471862793,1.2526932954788208,1.2581939697265625,0,83.02197523461166,1.2396726429462432,,,1.240063988809058,0.010003456485474545,0.0
2004-01-05,1.2639029026031494,1.2694060802459717,1.2636953592300415,1.2686975002288818,0,86.87105143562196,1.2420074701309205,,,1.2427909898966605,0.010104502458835762,0.8348101131498753
2004-01-06,1.2689067125320435,1.2808033227920532,1.2672022581100464,1.2721028327941895,0,87.83404722161745,1.244362872838974,,,1.2455825939821394,0.01039330652729637,0.26841170292313254
2004-01-07,1.272394061088562,1.2739989757537842,1.2624987363815308,1.2640947103500366,0,74.07410235463375,1.246612811088562,,,1.247345652683844,0.01048372558995358,-0.6295184821311084
2004-01-08,1.2640947103500366,1.2787070274353027,1.256502389907837,1.2774981260299683,0,79.78287410932214,1.249367505311966,,,1.2502173168120463,0.01143142104278823,1.0603173615227002
2004-01-09,1.2774981260299683,1.2867032289505005,1.2712942361831665,1.2858924865722656,0,82.39713565583827,1.2522672414779663,,,1.2536149520273052,0.011750024659392464,0.6570937656389608
2004-01-12,1.2848020792007446,1.289706826210022,1.2738043069839478,1.2740962505340576,0,68.91174879715446,1.2543721795082092,,,1.255565551885091,0.01207978013982883,-0.9173578787797898
2004-01-13,1.2744048833847046,1.2797051668167114,1.2718924283981323,1.278592586517334,0,70.86883152911336,1.2566920697689057,,,1.2577586028024474,0.011743611886933826,0.35290394908482625
2004-01-14,1.278805136680603,1.278805136680603,1.2406023740768433,1.2651021480560303,0,58.89018376151269,1.257937055826187,,,1.2584579880646936,0.013812912658224775,-1.0551006320198786
2004-01-15,1.2655985355377197,1.2671059370040894,1.256897211074829,1.260096549987793,0,55.164332750162586,1.258826994895935,,,1.2586140415811793,0.013532936571880677,-0.39566750210083823
2004-01-16,1.260001301765442,1.2610021829605103,1.2363996505737305,1.239802598953247,0,43.2242926140422,1.2588922560214997,,,1.2568224756166142,0.014387488712481395,-1.6105076261610618
2004-01-19,1.2386969327926636,1.2424057722091675,1.2340041399002075,1.235406756401062,0,41.146780882096266,1.2586678504943847,,,1.2547828833103711,0.013928042571219318,-0.354559875571836
2004-01-20,1.235101580619812,1.2602077722549438,1.234994888305664,1.2589067220687866,0,53.902449350869844,1.2596130609512328,,,1.2551756298587917,0.014789624434653684,1.9022047229354522
2004-01-21,1.25809907913208,1.266993522644043,1.2565971612930298,1.2659028768539429,0,56.89755258481629,1.2606432557106018,,,1.2561972724297583,0.014455847134367128,0.555732578316781
2004-01-22,1.265806794166565,1.2748922109603882,1.2644941806793213,1.2725075483322144,0,59.56829784038409,1.2620284855365753,,,1.2577506320395162,0.014148950518866,0.5217360351281952
2004-01-23,1.272394061088562,1.2775959968566895,1.2570078372955322,1.2583048343658447,0,52.093207624684766,1.2627840518951416,,,1.2578034132134521,0.014633916112554917,-1.1161202135880566
2004-01-26,1.2574979066848755,1.2610976696014404,1.2461059093475342,1.2487980127334595,0,47.77183368874535,1.2628043174743653,,,1.2569457560248816,0.014660762630398888,-0.7555261151942161
2004-01-27,1.2485953569412231,1.2659990787506104,1.244694471359253,1.2636953592300415,0,54.18544294278657,1.2632443845272063,,,1.257588575377754,0.015157418204844678,1.1929348337105017
2004-01-28,1.2634079456329346,1.2643983364105225,1.242004632949829,1.2441989183425903,0,46.19103173469419,1.2625042378902436,,,1.2563133699458338,0.015696568184159192,-1.54281178173592
2004-01-29,1.2441060543060303,1.2526932954788208,1.2371032238006592,1.2410026788711548,0,45.01839756756355,1.261644673347473,,,1.2548552088911025,0.015688657853864228,-0.2568913559009789
2004-01-30,1.2410026788711548,1.2485017776489258,1.235498309135437,1.2468050718307495,0,47.618185536382995,1.2610752284526825,,,1.2540885291710688,0.015489774465082836,0.46755684402493003
2004-02-02,1.2475982904434204,1.2482056617736816,1.23960280418396,1.2433016300201416,0,46.19777447606034,1.2598054349422454,,,1.253061205442409,0.014981024751790004,-0.2809935482106729
2004-02-03,1.2537927627563477,1.2561078071594238,1.250500202178955,1.2534940242767334,0,50.796167844226595,1.2588749945163726,,,1.2531024262837733,0.014820756192211439,0.8197845165236917
2004-02-04,1.2545949220657349,1.2561078071594238,1.250500202178955,1.2539970874786377,0,51.018686958304734,1.2583701133728027,,,1.2531876321118558,0.014143355121406681,0.040132875958032166
2004-02-05,1.2537927627563477,1.2635995149612427,1.2523951530456543,1.2571974992752075,0,52.490711055737705,1.2573550820350647,,,1.2535695242226512,0.013927716496721112,0.25521684448284176
2004-02-06,1.2570078372955322,1.2726045846939087,1.2518935203552246,1.2700024843215942,0,57.93746588111589,1.2565605819225312,1.2467487096786498,,1.2551345680415982,0.014424456381743292,1.0185340850398683
2004-02-09,1.2655024528503418,1.2757054567337036,1.2655024528503418,1.2694060802459717,0,57.606201496554625,1.2563260734081267,1.2482068037986755,,1.25649375968011,0.014115877995323637,-0.04696085897353264
2004-02-10,1.269293189048767,1.2787070274353027,1.26739501953125,1.26850426197052,0,57.074800014436924,1.255821657180786,1.2493989396095275,,1.2576376170411014,0.013911263119498547,-0.0710425363077638
2004-02-11,1.268295168876648,1.284703016281128,1.265806794166565,1.2830052375793457,0,62.98725316183284,1.2567168116569518,1.2508130931854249,,1.2600535809018867,0.014274482856972939,1.1431554503647856
2004-02-12,1.2833017110824585,1.284703016281128,1.279606819152832,1.2818048000335693,0,62.22318056675194,1.2578022241592408,1.2522873044013978,,1.2621251255810946,0.013606682192061703,-0.09356450859400178
2004-02-13,1.2817062139511108,1.2889920473098755,1.2725075483322144,1.272799015045166,0,56.66930055048784,1.2594520449638367,1.253369390964508,,1.2631416864824347,0.013815790412652271,-0.7025863055098114
2004-02-16,1.2729934453964233,1.2790013551712036,1.2721998691558838,1.2765034437179565,0,58.3174000711635,1.2615068793296813,1.2544594407081604,,1.2644142347905798,0.01330674422656688,0.2910458469092214
2004-02-17,1.2764055728912354,1.2877968549728394,1.2763078212738037,1.2857933044433594,0,62.200239499993344,1.26285120844841,1.2556754112243653,,1.2664503366622732,0.013174979019834117,0.7277583755156192
2004-02-18,1.2863060235977173,1.2922067642211914,1.266592264175415,1.2725075483322144,0,54.3961137226197,1.2631814420223235,1.256743643283844,,1.2670272139641725,0.014075759789107585,-1.033273082480135
2004-02-19,1.27289617061615,1.2766989469528198,1.2659990787506104,1.2757054567337036,0,55.832590337526256,1.263341337442398,1.2578096675872803,,1.2678537132755563,0.013831542336928985,0.25130761744247554
2004-02-20,1.2758032083511353,1.2760961055755615,1.250296950340271,1.2542015314102173,0,45.462424419750484,1.2631361722946166,1.2583357429504394,,1.2665535054788573,0.014696509038342315,-1.6856497093415745
2004-02-23,1.2500938177108765,1.2593982219696045,1.2457022666931152,1.2571974992752075,0,46.941058130906626,1.263556146621704,1.2588397431373597,,1.2656624572689859,0.01462425459328853,0.23887451816628769
2004-02-24,1.2571974992752075,1.2711002826690674,1.2528972625732422,1.2677966356277466,0,51.90868989718679,1.2637612104415894,1.2595517802238465,,1.2658657123507726,0.014882490251936732,0.8430764743526442
2004-02-25,1.2678931951522827,1.270405888557434,1.2483927011489868,1.249703288078308,0,44.28626738190543,1.2640364289283752,1.2597417974472045,,1.264326433848633,0.015396650385723134,-1.4271490427547606
2004-02-26,1.2500938177108765,1.251799464225769,1.2396950721740723,1.2448029518127441,0,42.4674030966299,1.2642264425754548,1.2597919011116028,,1.26246705460712,0.015159422045892924,-0.3921199785830165
2004-02-27,1.2448029518127441,1.2507035732269287,1.2380987405776978,1.2494065761566162,0,44.76261611096525,1.264356517791748,1.260010085105896,,1.261223199516596,0.014975462984627028,0.3698275568167597
2004-03-01,1.2539026737213135,1.2541072368621826,1.242992639541626,1.2448029518127441,0,42.91870364997596,1.2644315838813782,1.2601082468032836,,1.2596593664019433,0.014697599287786021,-0.3684648721822503
2004-03-02,1.245004415512085,1.245004415512085,1.2203009128570557,1.220405101776123,0,34.74904249874851,1.2627771377563477,1.2597162985801698,,1.2559208650090081,0.015417327724980669,-1.9599768783558624
2004-03-03,1.2201966047286987,1.2220009565353394,1.20689857006073,1.2190959453582764,0,34.37097102104879,1.2610320806503297,1.259192237854004,,1.2524137298041764,0.015394685243187387,-0.1072722832722861
