Date,Open,High,Low,Close,Volume,RSI,SMA20,SMA50,SMA200,EMA20,ATR,Pct
2003-09-17,1.3667000532150269,1.3703999519348145,1.3636000156402588,1.3667000532150269,0,,,,,1.3667000532150269,,
2003-09-18,1.3660000562667847,1.368499994277954,1.3596999645233154,1.3615000247955322,0,,,,,1.36620481241317,,-0.3804805895238017
2003-09-19,1.3619999885559082,1.3630000352859497,1.3457000255584717,1.3472000360488892,0,,,,,1.36439483371181,,-1.0503113100413408
2003-09-22,1.3413000106811523,1.355299949645996,1.3365000486373901,1.354200005531311,0,,,,,1.3634238976946196,,0.5195939203617828
2003-09-23,1.3549000024795532,1.357699990272522,1.3458000421524048,1.3551000356674194,0,,,,,1.3626311489301244,,0.06646212763492532
2003-09-24,1.3547999858856201,1.3595000505447388,1.3482999801635742,1.350100040435791,0,,,,,1.3614377100259023,,-0.36897609770675244
2003-09-25,1.3504999876022339,1.3521000146865845,1.3451000452041626,1.3494999408721924,0,,,,,1.3603007796303108,,-0.04444852571109381
2003-09-26,1.3493000268936157,1.3574999570846558,1.3482999801635742,1.3528000116348267,0,,,,,1.359586420773598,,0.24454026730089673
2003-09-29,1.3535000085830688,1.363800048828125,1.3497999906539917,1.3518999814987183,0,,,,,1.3588543789378953,,-0.0665309083654364
2003-09-30,1.3522000312805176,1.355299949645996,1.3423999547958374,1.3502000570297241,0,,,,,1.3580301578037837,,-0.12574336062269875
2003-10-01,1.3496999740600586,1.351199984550476,1.343000054359436,1.3451000452041626,0,,,,,1.3567987185085817,,-0.3777226788733046
2003-10-02,1.3449000120162964,1.3513000011444092,1.3375999927520752,1.3401999473571777,0,,,,,1.355217883160829,,-0.3642924453430618
2003-10-03,1.3396999835968018,1.3481999635696411,1.336899995803833,1.3430999517440796,0,,,,,1.3540637944544718,,0.21638594991892912
2003-10-06,1.346500039100647,1.3481999635696411,1.3387000560760498,1.3389999866485596,0,,,,,1.3526291460920041,0.011374433398346059,-0.3052613537954496
2003-10-07,1.3394999504089355,1.341599941253662,1.3272000551223755,1.3312000036239624,0,20.06810215304459,,,,1.350588275380762,0.011696507953199,-0.5825230098859158
2003-10-08,1.3312000036239624,1.3350000381469727,1.3253999948501587,1.3322999477386475,0,22.377027929649486,,,,1.3488465298910368,0.011480881444549316,0.08262801319791624
2003-10-09,1.332200050354004,1.3416999578475952,1.3279000520706177,1.3382999897003174,0,33.63803952665269,,,,1.3478420974919207,0.011712131972707773,0.45035218772273566
2003-10-10,1.3384000062942505,1.3395999670028687,1.3184000253677368,1.32260000705719,0,23.876993706366193,,,,1.3454380888790891,0.012632216325961697,-1.1731288025073616
2003-10-13,1.319200038909912,1.3259999752044678,1.3179999589920044,1.3214000463485718,0,23.320004421848836,,,,1.3431487514952303,0.012194196781745733,-0.09072740830299297
2003-10-14,1.3221999406814575,1.3314000368118286,1.3205000162124634,1.323199987411499,0,26.104590193198348,1.3437800049781798,,,1.3412488692015416,0.012074586566352538,0.13621469651836637
2003-10-15,1.3212000131607056,1.3305000066757202,1.3212000131607056,1.3276000022888184,0,32.552580858858875,1.3418250024318694,,,1.3399489771146156,0.011823426111099784,0.332528334278992
2003-10-16,1.3276000022888184,1.330199956893921,1.3121999502182007,1.31850004196167,0,27.255555894968992,1.3396750032901763,,,1.3379062213857638,0.012372064597656956,-0.685444434427529
